frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
1,0,5,2:254:452:65:31:0.6187;2:380:452:35:21:0.6387;2:433:451:19:16:0.3469;2:563:447:40:31:0.7788;7:604:418:47:53:0.5176,0,,-1,NONE,inf
2,0,6,2:227:453:74:31:0.4570;2:370:452:37:22:0.6206;2:427:452:24:16:0.4688;2:536:448:10:11:0.2366;2:564:447:38:31:0.7798;7:600:418:51:54:0.6387,0,,-1,NONE,inf
3,0,6,2:202:453:79:33:0.4902;2:359:451:40:23:0.6841;2:421:452:25:17:0.3850;2:537:448:9:11:0.2338;2:563:447:39:31:0.7812;7:604:418:48:53:0.6187,5,1:2:563:447:39:31;2:7:604:418:48:53;3:2:359:451:40:23;4:2:421:452:25:17;5:2:202:453:79:33,-1,NONE,inf
4,0,6,2:163:467:48:22:0.1666;2:347:450:44:24:0.7534;2:415:452:24:17:0.4766;2:537:448:9:11:0.2240;2:563:447:39:31:0.7827;7:606:417:46:54:0.5981,5,1:2:563:447:39:31;2:7:606:417:46:54;3:2:347:450:44:24;4:2:415:452:24:17;5:2:163:467:48:22,-1,NONE,inf
5,0,5,2:128:452:101:40:0.7983;2:334:450:50:25:0.4941;2:408:452:26:18:0.4167;2:564:447:38:31:0.7720;7:607:417:45:54:0.5737,5,1:2:564:447:38:31;2:7:607:417:45:54;3:2:334:450:50:25;4:2:408:452:26:18;5:2:128:452:101:40,-1,NONE,inf
6,0,5,2:80:452:121:45:0.7920;2:321:450:48:25:0.5737;2:401:450:29:18:0.3345;2:563:447:39:31:0.7881;7:606:416:47:55:0.4824,5,1:2:563:447:39:31;2:7:606:416:47:55;3:2:321:450:48:25;4:2:401:450:29:18;5:2:80:452:121:45,-1,NONE,inf
7,0,6,2:18:449:142:51:0.8032;2:303:451:56:28:0.5796;2:355:449:42:23:0.1192;2:394:451:29:19:0.4727;2:563:447:39:31:0.7959;5:609:418:43:51:0.6328,5,1:2:563:447:39:31;2:5:609:418:43:51;3:2:303:451:56:28;4:2:394:451:29:19;5:2:18:449:142:51,-1,NONE,inf
8,0,6,2:0:449:119:57:0.8311;2:283:450:56:31:0.5830;2:385:451:32:19:0.4941;2:563:446:39:32:0.7959;5:609:416:43:53:0.6582;7:336:454:22:21:0.2134,5,1:2:563:446:39:32;2:5:609:416:43:53;3:2:283:450:56:31;4:2:385:451:32:19;5:2:0:449:119:57,-1,NONE,inf
9,0,6,2:0:450:62:54:0.4961;2:261:450:55:32:0.5449;2:318:451:32:27:0.2401;2:376:451:33:20:0.5117;2:563:446:39:32:0.7891;5:609:416:44:53:0.6475,5,1:2:563:446:39:32;2:5:609:416:44:53;3:2:261:450:55:32;4:2:376:451:33:20;5:2:0:450:62:54,-1,NONE,inf
10,0,6,2:275:458:31:26:0.1339;2:303:453:33:24:0.2598;2:320:454:19:20:0.4167;2:365:451:36:21:0.4514;2:563:446:39:32:0.7690;5:609:415:44:54:0.5425,4,1:2:563:446:39:32;2:5:609:415:44:54;3:2:303:453:33:24;4:2:365:451:36:21,-1,NONE,inf
11,0,5,2:207:449:78:37:0.6978;2:284:451:45:28:0.5640;2:353:450:39:23:0.5449;2:563:446:39:32:0.7983;5:609:415:44:54:0.5894,4,1:2:563:446:39:32;2:5:609:415:44:54;3:2:284:451:45:28;4:2:353:450:39:23,-1,NONE,inf
12,0,5,2:170:448:89:42:0.8018;2:268:452:50:28:0.6636;2:340:450:41:26:0.5601;2:563:447:39:31:0.7852;7:609:415:46:55:0.5659,4,1:2:563:447:39:31;2:7:609:415:46:55;3:2:268:452:50:28;4:2:340:450:41:26,-1,NONE,inf
