frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
799,0,1,2:716:398:163:115:0.9437,1,49:2:716:398:163:115,-1,NONE,inf
800,0,1,2:717:398:167:114:0.9425,1,49:2:717:398:167:114,-1,NONE,inf
801,0,1,2:720:398:169:115:0.9406,1,49:2:720:398:169:115,-1,NONE,inf
802,0,1,2:722:397:171:117:0.9404,1,49:2:722:397:171:117,-1,NONE,inf
803,0,1,2:724:397:175:119:0.9375,1,49:2:724:397:175:119,-1,NONE,inf
804,0,1,2:727:397:176:119:0.9380,1,49:2:727:397:176:119,-1,NONE,inf
805,0,1,2:729:396:179:122:0.9359,1,49:2:729:396:179:122,-1,NONE,inf
806,0,1,2:731:396:184:122:0.9365,1,49:2:731:396:184:122,-1,NONE,inf
807,0,1,2:733:396:187:124:0.9423,1,49:2:733:396:187:124,-1,NONE,inf
808,0,1,2:736:396:189:125:0.9391,1,49:2:736:396:189:125,-1,NONE,inf
809,0,1,2:738:395:194:127:0.9414,1,49:2:738:395:194:127,-1,NONE,inf
810,0,1,2:741:395:196:128:0.9415,1,49:2:741:395:196:128,-1,NONE,inf
811,0,1,2:743:394:201:130:0.9387,1,49:2:743:394:201:130,-1,NONE,inf
812,0,1,2:747:394:203:131:0.9443,1,49:2:747:394:203:131,-1,NONE,inf
813,0,1,2:749:394:208:132:0.9449,1,49:2:749:394:208:132,-1,NONE,inf
814,0,1,2:751:394:208:133:0.9505,1,49:2:751:394:208:133,-1,NONE,inf
815,0,1,2:755:394:204:132:0.9382,1,49:2:755:394:204:132,-1,NONE,inf
816,0,1,2:757:393:202:133:0.9396,1,49:2:757:393:202:133,-1,NONE,inf
817,0,1,2:759:392:200:135:0.9383,1,49:2:759:392:200:135,-1,NONE,inf
818,0,1,2:762:392:197:137:0.9481,1,49:2:762:392:197:137,-1,NONE,inf
819,0,1,2:766:391:193:137:0.9410,1,49:2:766:391:193:137,-1,NONE,inf
820,0,1,2:768:391:191:138:0.9478,1,49:2:768:391:191:138,-1,NONE,inf
821,0,1,2:771:390:188:139:0.9434,1,49:2:771:390:188:139,-1,NONE,inf
822,0,1,2:775:390:184:140:0.9449,1,49:2:775:390:184:140,-1,NONE,inf
823,0,1,2:778:390:181:140:0.9497,1,49:2:778:390:181:140,-1,NONE,inf
824,0,1,2:781:389:178:141:0.9521,1,49:2:781:389:178:141,-1,NONE,inf
825,0,1,2:785:389:174:141:0.9492,1,49:2:785:389:174:141,-1,NONE,inf
826,0,1,2:789:388:170:142:0.9390,1,49:2:789:388:170:142,-1,NONE,inf
827,0,1,2:792:388:167:143:0.9371,1,49:2:792:388:167:143,-1,NONE,inf
828,0,1,2:796:388:163:142:0.9332,1,49:2:796:388:163:142,-1,NONE,inf
829,0,1,2:800:387:159:143:0.9352,1,49:2:800:387:159:143,-1,NONE,inf
830,0,1,2:803:386:156:145:0.9300,1,49:2:803:386:156:145,-1,NONE,inf
831,0,1,2:808:386:151:144:0.9379,1,49:2:808:386:151:144,-1,NONE,inf
832,0,1,2:813:386:146:145:0.9370,1,49:2:813:386:146:145,-1,NONE,inf
833,0,1,2:817:384:142:147:0.9285,1,49:2:817:384:142:147,-1,NONE,inf
834,0,1,2:821:384:138:147:0.9250,1,49:2:821:384:138:147,-1,NONE,inf
835,0,1,2:825:384:134:147:0.9123,1,49:2:825:384:134:147,-1,NONE,inf
836,0,1,2:830:384:129:147:0.9135,1,49:2:830:384:129:147,-1,NONE,inf
837,0,1,2:835:384:124:146:0.9017,1,49:2:835:384:124:146,-1,NONE,inf
838,0,1,2:840:382:119:148:0.8908,1,49:2:840:382:119:148,-1,NONE,inf
839,0,1,2:844:382:115:148:0.9050,1,49:2:844:382:115:148,-1,NONE,inf
840,0,1,2:850:383:109:147:0.8931,1,49:2:850:383:109:147,-1,NONE,inf
841,0,1,2:855:385:104:145:0.8861,1,49:2:855:385:104:145,-1,NONE,inf
842,0,1,2:860:386:99:144:0.8836,1,49:2:860:386:99:144,-1,NONE,inf
843,0,1,2:866:391:93:140:0.8731,1,49:2:866:391:93:140,-1,NONE,inf
844,0,1,2:872:393:87:137:0.8443,1,49:2:872:393:87:137,-1,NONE,inf
845,0,1,2:877:376:402:216:0.8742,1,49:2:877:376:402:216,-1,NONE,inf
846,0,1,2:882:401:77:130:0.8096,1,49:2:882:401:77:130,-1,NONE,inf
847,0,1,2:889:405:70:126:0.8520,1,49:2:889:405:70:126,-1,NONE,inf
848,0,1,2:895:372:384:225:0.8706,0,,-1,NONE,inf
849,0,1,2:901:370:378:227:0.8813,0,,-1,NONE,inf
850,0,1,2:907:369:372:233:0.8832,1,52:2:907:369:372:233,-1,NONE,inf
851,0,1,2:915:367:364:233:0.8471,1,52:2:915:367:364:233,-1,NONE,inf
852,0,1,2:922:367:357:236:0.8662,1,52:2:922:367:357:236,-1,NONE,inf
