frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
311,0,3,2:297:449:44:18:0.3210;2:520:445:45:35:0.8283;7:399:447:23:14:0.3178,3,1:2:520:445:45:35;34:2:297:449:44:18;35:7:399:447:23:14,1,SAFE,inf
312,0,3,2:320:451:13:14:0.2531;2:519:446:46:35:0.8008;7:395:447:24:15:0.2488,3,1:2:519:446:46:35;34:2:320:451:13:14;35:7:395:447:24:15,1,SAFE,inf
313,0,4,2:267:448:57:19:0.4081;2:391:447:22:14:0.2983;2:403:448:14:13:0.2361;2:519:445:46:35:0.7954,2,1:2:519:445:46:35;35:2:391:447:22:14,1,SAFE,inf
314,0,2,2:250:448:67:21:0.4712;2:519:446:47:34:0.7425,1,1:2:519:446:47:34,1,SAFE,inf
315,0,3,2:230:449:74:21:0.3623;2:381:447:28:15:0.3095;2:519:445:47:35:0.7346,3,1:2:519:445:47:35;35:2:381:447:28:15;36:2:230:449:74:21,1,SAFE,inf
316,0,3,2:211:446:86:25:0.3632;2:374:446:28:16:0.2908;2:519:445:47:35:0.7964,3,1:2:519:445:47:35;35:2:374:446:28:16;36:2:211:446:86:25,1,SAFE,46.043
317,0,3,2:187:447:99:24:0.2607;2:369:447:31:15:0.4039;2:519:445:47:35:0.8052,3,1:2:519:445:47:35;35:2:369:447:31:15;36:2:187:447:99:24,1,SAFE,29.300
318,0,4,2:161:448:78:25:0.2212;2:239:452:39:16:0.1648;2:362:445:31:18:0.5159;2:519:445:47:35:0.7970,3,1:2:519:445:47:35;35:2:362:445:31:18;36:2:161:448:78:25,1,SAFE,21.487
319,0,5,0:854:477:13:31:0.1119;2:140:448:76:24:0.2704;2:217:452:48:18:0.3396;2:354:445:34:18:0.3672;2:520:445:46:35:0.8034,3,1:2:520:445:46:35;35:2:354:445:34:18;36:2:140:448:76:24,1,SAFE,29.300
320,0,5,0:878:479:15:35:0.5643;2:104:449:89:25:0.2577;2:200:452:53:19:0.4125;2:345:445:33:18:0.2693;2:520:445:46:35:0.7726,3,1:2:520:445:46:35;35:2:345:445:33:18;36:2:104:449:89:25,1,SAFE,inf
321,0,4,2:46:447:115:32:0.3347;2:180:452:57:19:0.4102;2:521:445:45:35:0.7736;7:338:445:39:20:0.3220,4,1:2:521:445:45:35;35:7:338:445:39:20;36:2:46:447:115:32;37:2:180:452:57:19,1,SAFE,inf
322,0,5,0:947:484:14:44:0.1230;2:12:447:117:30:0.3150;2:163:452:59:19:0.4117;2:329:444:40:21:0.4691;2:521:445:46:35:0.8041,4,1:2:521:445:46:35;35:2:329:444:40:21;36:2:12:447:117:30;37:2:163:452:59:19,1,SAFE,inf
323,1,1,2:553:454:46:34:0.6601,0,,-1,NONE,inf
324,0,1,2:550:454:45:33:0.6070,0,,-1,NONE,inf
325,0,1,2:548:454:44:33:0.6970,1,38:2:548:454:44:33,-1,NONE,inf
326,0,1,2:545:453:45:34:0.6155,1,38:2:545:453:45:34,-1,NONE,inf
327,0,1,2:543:453:43:34:0.7239,1,38:2:543:453:43:34,-1,NONE,inf
328,0,1,2:542:454:44:33:0.8269,1,38:2:542:454:44:33,-1,NONE,inf
329,0,1,2:540:453:46:34:0.7450,1,38:2:540:453:46:34,-1,NONE,inf
330,0,1,2:539:453:45:34:0.8116,1,38:2:539:453:45:34,-1,NONE,inf
331,0,1,2:537:453:46:34:0.7785,1,38:2:537:453:46:34,-1,NONE,inf
332,0,1,2:537:453:44:33:0.7983,1,38:2:537:453:44:33,-1,NONE,inf
333,0,1,2:536:453:44:33:0.8186,1,38:2:536:453:44:33,-1,NONE,inf
334,0,1,2:536:453:43:33:0.7577,1,38:2:536:453:43:33,-1,NONE,inf
