frame,sceneChanged,numDetections,detections,numTracks,tracks,activeLeadId,riskLevel,ttc
450,0,3,2:511:449:17:15:0.3106;2:536:453:33:25:0.7017;5:630:383:320:105:0.4227,3,38:2:536:453:33:25;39:2:511:449:17:15;40:5:630:383:320:105,38,SAFE,inf
451,0,3,2:512:450:15:14:0.2603;2:537:454:32:25:0.6312;5:630:380:325:108:0.3064,3,38:2:537:454:32:25;39:2:512:450:15:14;40:5:630:380:325:108,38,SAFE,inf
452,0,4,2:512:450:15:14:0.2971;2:537:454:33:24:0.6549;5:631:379:328:109:0.3271;7:284:400:91:70:0.1016,3,38:2:537:454:33:24;39:2:512:450:15:14;40:5:631:379:328:109,38,SAFE,inf
453,0,3,2:511:449:16:15:0.2406;2:537:453:33:25:0.6594;5:632:378:327:111:0.4933,3,38:2:537:453:33:25;39:2:511:449:16:15;40:5:632:378:327:111,38,SAFE,inf
454,0,3,2:510:449:18:16:0.2819;2:538:453:32:25:0.7176;5:632:376:327:114:0.2743,3,38:2:538:453:32:25;39:2:510:449:18:16;40:5:632:376:327:114,38,SAFE,inf
455,0,3,2:510:448:18:16:0.2991;2:538:453:32:25:0.6928;5:633:377:326:113:0.4015,3,38:2:538:453:32:25;39:2:510:448:18:16;40:5:633:377:326:113,38,SAFE,inf
456,0,3,2:510:448:18:16:0.2764;2:538:452:32:25:0.7593;5:635:373:324:118:0.2377,3,38:2:538:452:32:25;39:2:510:448:18:16;40:5:635:373:324:118,38,SAFE,inf
457,0,3,2:510:448:18:16:0.2567;2:538:452:32:25:0.7110;7:635:370:324:121:0.3078,3,38:2:538:452:32:25;39:2:510:448:18:16;40:7:635:370:324:121,38,SAFE,inf
458,0,3,2:510:447:18:17:0.2277;2:539:452:31:25:0.7509;7:637:370:322:122:0.3733,3,38:2:539:452:31:25;39:2:510:447:18:17;40:7:637:370:322:122,38,SAFE,inf
459,0,3,2:510:447:18:17:0.2255;2:539:452:32:25:0.7590;7:638:369:321:123:0.4470,3,38:2:539:452:32:25;39:2:510:447:18:17;40:7:638:369:321:123,38,SAFE,inf
460,0,4,2:511:448:16:16:0.2313;2:540:452:32:25:0.7567;7:320:403:51:62:0.3242;7:640:368:319:124:0.3334,3,38:2:540:452:32:25;39:2:511:448:16:16;40:7:640:368:319:124,38,SAFE,inf
461,0,4,2:510:447:18:17:0.2048;2:540:452:32:25:0.7441;5:642:371:317:121:0.3135;7:320:402:51:63:0.5236,3,38:2:540:452:32:25;39:2:510:447:18:17;40:5:642:371:317:121,38,SAFE,inf
462,0,3,2:540:452:33:25:0.7090;7:321:407:51:57:0.2318;7:642:369:317:124:0.3493,2,38:2:540:452:33:25;40:7:642:369:317:124,38,SAFE,inf
463,0,2,2:540:452:33:25:0.7347;5:643:371:370:134:0.1182,2,38:2:540:452:33:25;40:5:643:371:370:134,38,SAFE,inf
464,0,2,2:540:452:34:26:0.7721;7:645:375:314:121:0.2309,2,38:2:540:452:34:26;40:7:645:375:314:121,38,SAFE,19.519
465,0,4,2:540:451:34:26:0.7977;2:992:484:70:30:0.1710;5:647:362:398:133:0.4776;7:320:401:48:64:0.2458,2,38:2:540:451:34:26;40:5:647:362:398:133,38,SAFE,12.378
466,0,2,2:540:452:34:25:0.7836;7:646:368:313:127:0.4410,2,38:2:540:452:34:25;40:7:646:368:313:127,38,SAFE,13.027
467,0,3,2:541:452:33:25:0.7833;7:320:401:47:64:0.2938;7:647:366:312:130:0.3655,2,38:2:541:452:33:25;40:7:647:366:312:130,38,SAFE,26.467
468,0,3,2:541:452:34:25:0.8064;7:320:401:47:64:0.3945;7:649:363:310:133:0.5244,2,38:2:541:452:34:25;40:7:649:363:310:133,38,SAFE,34.030
469,0,3,2:541:452:34:25:0.8072;7:320:402:47:63:0.2876;7:651:361:308:135:0.5888,2,38:2:541:452:34:25;40:7:651:361:308:135,38,SAFE,47.641
