run_id,git,frames,fps,total_processing_ms_p50,total_processing_ms_p95,detect_ms_p50,detect_ms_p95,inference_full_ms_p50,inference_crop_ms_p50,preprocess_ms_p50,postprocess_ms_p50,deadline_miss_rate,frame_age_ms_p50,frame_age_ms_p95,frame_drops,lead_segments,lead_segment_median_s,lead_short_segment_ratio,ttc_rate,warning_frames
baseline_x86_20260831-214757_r01,13b0dd556169,1237,3.3586417781907794,239.473,483.75280000000004,236.056,479.68820000000005,103.975,104.484,17.433,6.388999999999999,1.0,,,0,6,0.8508508508508508,0.75,0.3803986710963455,0
baseline_x86_20260831-214757_r02,13b0dd556169,1237,2.7997276431164355,374.633,467.45820000000003,370.696,463.24800000000005,165.564,168.062,19.459,6.78,1.0,,,0,6,0.8508508508508508,0.75,0.3803986710963455,0
baseline_x86_20260831-214757_r03,13b0dd556169,1237,4.384464358945813,216.393,287.49,213.515,284.4018000000001,92.08,93.243,16.359,6.063000000000001,1.0,,,0,6,0.8508508508508508,0.75,0.3803986710963455,0
baseline_x86_20260831-214757_r04,13b0dd556169,1237,4.33050762798611,219.083,290.00020000000006,216.295,286.6204,93.664,94.144,16.861,6.1450000000000005,1.0,,,0,6,0.8508508508508508,0.75,0.3803986710963455,0
baseline_x86_20260831-214757_r05,13b0dd556169,1237,4.23319348669152,221.562,292.25960000000003,218.427,289.32820000000004,94.69,95.354,16.878999999999998,6.214,1.0,,,0,6,0.8508508508508508,0.75,0.3803986710963455,0
