frame,time_sec,rank,best_class_id,best_class_name,best_score,second_class_id,second_class_name,second_score,third_class_id,third_class_name,third_score,car_score,bus_score,train_score,truck_score,boat_score,left,top,width,height,right,bottom,touches_right_edge,passes_confidence_010,passes_target_class,passes_final_filter
542,18.051,17,4,airplane,0.000537,2,car,0.000051,6,train,0.000049,0.000051,0.000007,0.000049,0.000015,0.000033,860,394,419,210,1279,604,1,0,0,0
542,18.051,18,0,person,0.000521,13,bench,0.000338,1,bicycle,0.000216,0.000104,0.000006,0.000004,0.000050,0.000074,973,457,47,45,1020,502,0,0,1,0
542,18.051,19,4,airplane,0.000487,2,car,0.000108,6,train,0.000039,0.000108,0.000005,0.000039,0.000016,0.000028,825,388,454,133,1279,521,1,0,0,0
542,18.051,20,2,car,0.000482,13,bench,0.000323,0,person,0.000243,0.000482,0.000015,0.000005,0.000092,0.000048,1006,473,50,33,1056,506,0,0,1,0
543,18.085,1,13,bench,0.004490,2,car,0.001126,1,bicycle,0.000994,0.001126,0.000011,0.000014,0.000273,0.000256,971,471,52,28,1023,499,0,0,0,0
543,18.085,2,2,car,0.003318,0,person,0.001447,7,truck,0.001364,0.003318,0.000043,0.000023,0.001364,0.000177,970,466,40,30,1010,496,0,0,1,0
543,18.085,3,2,car,0.002546,0,person,0.001407,7,truck,0.001164,0.002546,0.000031,0.000017,0.001164,0.000146,982,467,45,36,1027,503,0,0,1,0
543,18.085,4,13,bench,0.001507,2,car,0.001203,8,boat,0.000452,0.001203,0.000013,0.000013,0.000206,0.000452,968,473,53,27,1021,500,0,0,0,0
543,18.085,5,6,train,0.001429,4,airplane,0.000182,2,car,0.000069,0.000069,0.000046,0.001429,0.000060,0.000063,18,351,1112,122,1130,473,0,0,0,0
543,18.085,6,4,airplane,0.000767,8,boat,0.000101,6,train,0.000089,0.000054,0.000031,0.000089,0.000080,0.000101,1184,388,95,34,1279,422,1,0,0,0
543,18.085,7,2,car,0.000758,13,bench,0.000529,0,person,0.000410,0.000758,0.000019,0.000019,0.000293,0.000223,984,471,46,37,1030,508,0,0,1,0
543,18.085,8,0,person,0.000730,14,bird,0.000069,2,car,0.000032,0.000032,0.000000,0.000000,0.000002,0.000008,1144,559,25,40,1169,599,0,0,1,0
543,18.085,9,0,person,0.000693,14,bird,0.000045,10,fire hydrant,0.000032,0.000002,0.000000,0.000001,0.000001,0.000024,1042,567,30,85,1072,652,0,0,1,0
543,18.085,10,4,airplane,0.000632,8,boat,0.000167,6,train,0.000111,0.000038,0.000019,0.000111,0.000044,0.000167,1019,393,260,34,1279,427,1,0,0,0
543,18.085,11,0,person,0.000631,1,bicycle,0.000143,13,bench,0.000093,0.000043,0.000002,0.000002,0.000023,0.000020,1003,459,29,43,1032,502,0,0,1,0
543,18.085,12,4,airplane,0.000527,2,car,0.000043,6,train,0.000042,0.000043,0.000004,0.000042,0.000011,0.000022,875,354,404,91,1279,445,1,0,0,0
543,18.085,13,4,airplane,0.000505,6,train,0.000041,2,car,0.000031,0.000031,0.000006,0.000041,0.000014,0.000027,875,369,403,60,1278,429,1,0,0,0
543,18.085,14,0,person,0.000503,14,bird,0.000037,10,fire hydrant,0.000033,0.000006,0.000000,0.000001,0.000002,0.000026,1039,559,34,94,1073,653,0,0,1,0
543,18.085,15,0,person,0.000462,14,bird,0.000040,10,fire hydrant,0.000033,0.000002,0.000000,0.000000,0.000001,0.000025,1044,568,27,86,1071,654,0,0,1,0
543,18.085,16,0,person,0.000443,14,bird,0.000038,16,dog,0.000016,0.000002,0.000000,0.000000,0.000001,0.000012,1038,566,34,97,1072,663,0,0,1,0
543,18.085,17,0,person,0.000440,14,bird,0.000034,1,bicycle,0.000017,0.000016,0.000000,0.000000,0.000001,0.000008,1142,559,38,47,1180,606,0,0,1,0
543,18.085,18,4,airplane,0.000430,2,car,0.000074,6,train,0.000036,0.000074,0.000004,0.000036,0.000010,0.000023,875,389,404,144,1279,533,1,0,0,0
543,18.085,19,0,person,0.000429,14,bird,0.000051,2,car,0.000032,0.000032,0.000000,0.000000,0.000003,0.000014,1135,554,50,47,1185,601,0,0,1,0
543,18.085,20,4,airplane,0.000425,8,boat,0.000174,37,surfboard,0.000067,0.000008,0.000017,0.000009,0.000020,0.000174,1184,395,95,27,1279,422,1,0,0,0
544,18.118,1,6,train,0.006179,4,airplane,0.000407,8,boat,0.000107,0.000064,0.000082,0.006179,0.000065,0.000107,8,350,1148,123,1156,473,0,0,0,0
544,18.118,2,13,bench,0.004133,2,car,0.000823,0,person,0.000431,0.000823,0.000012,0.000012,0.000170,0.000363,979,472,40,25,1019,497,0,0,0,0
544,18.118,3,13,bench,0.001742,2,car,0.000687,18,sheep,0.000276,0.000687,0.000009,0.000006,0.000115,0.000181,979,473,40,27,1019,500,0,0,0,0
544,18.118,4,0,person,0.001363,14,bird,0.000226,10,fire hydrant,0.000152,0.000038,0.000002,0.000003,0.000014,0.000028,1016,459,25,45,1041,504,0,0,1,0
544,18.118,5,6,train,0.001013,4,airplane,0.000194,8,boat,0.000050,0.000029,0.000024,0.001013,0.000033,0.000050,8,342,1071,133,1079,475,0,0,0,0
544,18.118,6,0,person,0.000909,2,car,0.000313,56,chair,0.000266,0.000313,0.000008,0.000008,0.000087,0.000082,1005,468,41,43,1046,511,0,0,1,0
544,18.118,7,0,person,0.000897,2,car,0.000194,58,potted plant,0.000092,0.000194,0.000005,0.000006,0.000078,0.000019,1013,463,33,43,1046,506,0,0,1,0
544,18.118,8,0,person,0.000860,2,car,0.000800,7,truck,0.000402,0.000800,0.000020,0.000016,0.000402,0.000044,991,466,35,37,1026,503,0,0,1,0
544,18.118,9,13,bench,0.000845,2,car,0.000490,18,sheep,0.000161,0.000490,0.000008,0.000005,0.000090,0.000120,978,473,41,28,1019,501,0,0,0,0
544,18.118,10,0,person,0.000688,14,bird,0.000181,2,car,0.000181,0.000181,0.000001,0.000001,0.000013,0.000027,1085,467,31,43,1116,510,0,0,1,0
544,18.118,11,0,person,0.000634,1,bicycle,0.000079,13,bench,0.000072,0.000039,0.000002,0.000002,0.000013,0.000019,1010,458,31,46,1041,504,0,0,1,0
544,18.118,12,4,airplane,0.000505,2,car,0.000084,25,umbrella,0.000042,0.000084,0.000007,0.000037,0.000017,0.000027,875,353,403,95,1278,448,1,0,0,0
544,18.118,13,4,airplane,0.000496,6,train,0.000100,33,kite,0.000069,0.000042,0.000019,0.000100,0.000039,0.000059,914,389,365,52,1279,441,1,0,0,0
544,18.118,14,2,car,0.000457,7,truck,0.000200,13,bench,0.000131,0.000457,0.000024,0.000019,0.000200,0.000025,946,466,73,30,1019,496,0,0,1,0
544,18.118,15,4,airplane,0.000382,2,car,0.000094,25,umbrella,0.000040,0.000094,0.000005,0.000032,0.000013,0.000019,872,335,407,117,1279,452,1,0,0,0
544,18.118,16,4,airplane,0.000364,6,train,0.000062,33,kite,0.000040,0.000016,0.000008,0.000062,0.000017,0.000020,868,387,411,61,1279,448,1,0,0,0
544,18.118,17,13,bench,0.000364,2,car,0.000334,0,person,0.000285,0.000334,0.000015,0.000018,0.000147,0.000128,985,469,50,41,1035,510,0,0,0,0
544,18.118,18,4,airplane,0.000348,6,train,0.000099,7,truck,0.000029,0.000018,0.000010,0.000099,0.000029,0.000020,878,382,397,84,1275,466,1,0,0,0
544,18.118,19,4,airplane,0.000345,6,train,0.000077,8,boat,0.000077,0.000035,0.000017,0.000077,0.000028,0.000077,982,389,297,46,1279,435,1,0,0,0
544,18.118,20,0,person,0.000332,2,car,0.000121,1,bicycle,0.000082,0.000121,0.000001,0.000001,0.000008,0.000010,1076,476,33,34,1109,510,0,0,1,0
545,18.151,1,6,train,0.011918,4,airplane,0.000452,8,boat,0.000142,0.000059,0.000120,0.011918,0.000087,0.000142,8,350,1101,125,1109,475,0,0,0,0
545,18.151,2,4,airplane,0.001623,8,boat,0.000148,6,train,0.000071,0.000055,0.000012,0.000071,0.000022,0.000148,869,379,410,51,1279,430,1,0,0,0
545,18.151,3,6,train,0.001475,4,airplane,0.000186,8,boat,0.000048,0.000027,0.000031,0.001475,0.000040,0.000048,8,341,1021,137,1029,478,0,0,0,0
545,18.151,4,8,boat,0.001463,4,airplane,0.000121,2,car,0.000067,0.000067,0.000001,0.000007,0.000013,0.001463,1007,551,177,38,1184,589,0,0,0,0
545,18.151,5,4,airplane,0.001278,8,boat,0.000125,2,car,0.000083,0.000083,0.000009,0.000068,0.000023,0.000125,870,354,409,83,1279,437,1,0,0,0
545,18.151,6,4,airplane,0.001249,8,boat,0.000321,37,surfboard,0.000164,0.000054,0.000018,0.000133,0.000052,0.000321,1036,385,243,37,1279,422,1,0,0,0
545,18.151,7,4,airplane,0.001221,8,boat,0.000222,6,train,0.000185,0.000053,0.000019,0.000185,0.000053,0.000222,955,385,324,44,1279,429,1,0,0,0
545,18.151,8,13,bench,0.001102,8,boat,0.000305,60,dining table,0.000081,0.000010,0.000006,0.000008,0.000011,0.000305,771,524,236,39,1007,563,0,0,0,0
545,18.151,9,4,airplane,0.001059,8,boat,0.000572,25,umbrella,0.000221,0.000098,0.000019,0.000097,0.000054,0.000572,1135,387,144,30,1279,417,1,0,0,0
545,18.151,10,4,airplane,0.001035,8,boat,0.000779,25,umbrella,0.000160,0.000015,0.000027,0.000011,0.000044,0.000779,1140,388,129,24,1269,412,1,0,0,0
545,18.151,11,8,boat,0.001008,56,chair,0.000118,13,bench,0.000096,0.000009,0.000001,0.000001,0.000003,0.001008,1011,538,84,39,1095,577,0,0,0,0
545,18.151,12,4,airplane,0.000923,8,boat,0.000661,33,kite,0.000048,0.000005,0.000011,0.000003,0.000016,0.000661,1138,388,141,24,1279,412,1,0,0,0
545,18.151,13,4,airplane,0.000837,8,boat,0.000208,6,train,0.000072,0.000049,0.000020,0.000072,0.000033,0.000208,1089,378,190,48,1279,426,1,0,0,0
545,18.151,14,0,person,0.000796,14,bird,0.000443,8,boat,0.000133,0.000015,0.000001,0.000001,0.000003,0.000133,1087,447,26,65,1113,512,0,0,1,0
545,18.151,15,8,boat,0.000763,37,surfboard,0.000061,25,umbrella,0.000057,0.000048,0.000002,0.000008,0.000014,0.000763,1011,557,230,80,1241,637,1,0,0,0
545,18.151,16,2,car,0.000762,0,person,0.000263,7,truck,0.000160,0.000762,0.000012,0.000018,0.000160,0.000125,987,466,36,31,1023,497,0,0,1,0
545,18.151,17,8,boat,0.000751,13,bench,0.000059,56,chair,0.000056,0.000007,0.000001,0.000001,0.000002,0.000751,1011,538,84,37,1095,575,0,0,0,0
545,18.151,18,4,airplane,0.000744,6,train,0.000152,8,boat,0.000109,0.000029,0.000012,0.000152,0.000032,0.000109,882,382,394,57,1276,439,1,0,0,0
545,18.151,19,8,boat,0.000698,4,airplane,0.000596,25,umbrella,0.000294,0.000110,0.000016,0.000043,0.000063,0.000698,1192,388,86,26,1278,414,1,0,0,0
545,18.151,20,8,boat,0.000682,14,bird,0.000267,25,umbrella,0.000179,0.000005,0.000000,0.000001,0.000002,0.000682,1011,561,83,44,1094,605,0,0,0,0
546,18.185,1,8,boat,0.009806,2,car,0.000356,13,bench,0.000335,0.000356,0.000010,0.000008,0.000078,0.009806,1032,557,85,29,1117,586,0,0,0,0
546,18.185,2,8,boat,0.009065,2,car,0.000408,13,bench,0.000251,0.000408,0.000007,0.000007,0.000055,0.009065,1032,556,87,30,1119,586,0,0,0,0
546,18.185,3,8,boat,0.008384,37,surfboard,0.000499,14,bird,0.000449,0.000203,0.000010,0.000010,0.000073,0.008384,1032,557,86,29,1118,586,0,0,0,0
546,18.185,4,4,airplane,0.005722,25,umbrella,0.002711,8,boat,0.002652,0.000047,0.000238,0.000135,0.000233,0.002652,1156,385,122,28,1278,413,1,0,0,0
546,18.185,5,8,boat,0.003775,0,person,0.000443,14,bird,0.000403,0.000113,0.000002,0.000003,0.000023,0.003775,1032,556,85,28,1117,584,0,0,0,0
546,18.185,6,4,airplane,0.003769,25,umbrella,0.002922,8,boat,0.001968,0.000026,0.000137,0.000060,0.000112,0.001968,1158,385,118,27,1276,412,1,0,0,0
546,18.185,7,4,airplane,0.003383,8,boat,0.001785,33,kite,0.001244,0.000234,0.000059,0.000203,0.000128,0.001785,1163,390,94,24,1257,414,1,0,0,0
546,18.185,8,25,umbrella,0.002852,8,boat,0.001697,4,airplane,0.001318,0.000152,0.000219,0.000300,0.000226,0.001697,1160,382,119,34,1279,416,1,0,0,0
546,18.185,9,4,airplane,0.002636,8,boat,0.002109,25,umbrella,0.000960,0.000216,0.000114,0.000289,0.000130,0.002109,1161,383,117,32,1278,415,1,0,0,0
546,18.185,10,25,umbrella,0.002394,8,boat,0.001916,4,airplane,0.001599,0.000206,0.000137,0.000241,0.000133,0.001916,1161,383,117,32,1278,415,1,0,0,0
546,18.185,11,4,airplane,0.002317,8,boat,0.001853,25,umbrella,0.001688,0.000022,0.000147,0.000048,0.000086,0.001853,1160,386,110,26,1270,412,1,0,0,0
546,18.185,12,8,boat,0.001819,25,umbrella,0.000246,14,bird,0.000202,0.000139,0.000002,0.000003,0.000018,0.001819,1031,566,88,28,1119,594,0,0,0,0
546,18.185,13,4,airplane,0.001539,8,boat,0.001226,25,umbrella,0.000448,0.000027,0.000101,0.000037,0.000083,0.001226,1158,385,121,28,1279,413,1,0,0,0
546,18.185,14,4,airplane,0.001442,8,boat,0.001113,25,umbrella,0.000453,0.000123,0.000063,0.000154,0.000094,0.001113,1160,378,119,38,1279,416,1,0,0,0
546,18.185,15,8,boat,0.001417,14,bird,0.000353,13,bench,0.000267,0.000166,0.000003,0.000004,0.000031,0.001417,1030,566,92,29,1122,595,0,0,0,0
546,18.185,16,8,boat,0.001193,14,bird,0.000276,25,umbrella,0.000214,0.000142,0.000001,0.000002,0.000016,0.001193,1031,566,89,29,1120,595,0,0,0,0
546,18.185,17,8,boat,0.001186,14,bird,0.001010,25,umbrella,0.000442,0.000141,0.000001,0.000002,0.000014,0.001186,1033,565,88,29,1121,594,0,0,0,0
546,18.185,18,8,boat,0.001183,4,airplane,0.000066,2,car,0.000064,0.000064,0.000009,0.000015,0.000033,0.001183,1026,519,107,67,1133,586,0,0,0,0
546,18.185,19,25,umbrella,0.001059,8,boat,0.000229,4,airplane,0.000208,0.000006,0.000013,0.000017,0.000015,0.000229,1157,385,119,38,1276,423,1,0,0,0
546,18.185,20,8,boat,0.000852,25,umbrella,0.000745,4,airplane,0.000742,0.000026,0.000045,0.000032,0.000049,0.000852,1157,377,119,36,1276,413,1,0,0,0
547,18.218,1,8,boat,0.067934,14,bird,0.011157,2,car,0.003325,0.003325,0.000012,0.000020,0.000297,0.067934,1065,572,103,24,1168,596,0,0,0,0
547,18.218,2,8,boat,0.059990,14,bird,0.032362,0,person,0.004806,0.001524,0.000015,0.000023,0.000444,0.059990,1066,571,102,24,1168,595,0,0,0,0
547,18.218,3,8,boat,0.058915,2,car,0.002974,14,bird,0.002874,0.002974,0.000022,0.000021,0.000396,0.058915,1066,572,105,24,1171,596,0,0,0,0
547,18.218,4,8,boat,0.049371,14,bird,0.015457,4,airplane,0.003202,0.001970,0.000011,0.000026,0.000376,0.049371,1065,571,104,25,1169,596,0,0,0,0
547,18.218,5,8,boat,0.024809,14,bird,0.009986,37,surfboard,0.001875,0.001268,0.000011,0.000015,0.000171,0.024809,1064,571,103,25,1167,596,0,0,0,0
547,18.218,6,8,boat,0.014879,14,bird,0.009961,0,person,0.002252,0.000854,0.000011,0.000012,0.000194,0.014879,1063,569,110,26,1173,595,0,0,0,0
547,18.218,7,6,train,0.006249,4,airplane,0.000325,8,boat,0.000123,0.000084,0.000111,0.006249,0.000121,0.000123,16,401,1044,73,1060,474,0,0,0,0
547,18.218,8,8,boat,0.004418,14,bird,0.001501,33,kite,0.000725,0.000473,0.000014,0.000058,0.000062,0.004418,1064,571,116,33,1180,604,0,0,0,0
547,18.218,9,8,boat,0.004028,14,bird,0.000807,37,surfboard,0.000318,0.000286,0.000003,0.000004,0.000031,0.004028,1077,571,103,26,1180,597,0,0,0,0
547,18.218,10,8,boat,0.003507,4,airplane,0.000655,14,bird,0.000404,0.000237,0.000008,0.000028,0.000047,0.003507,1064,563,114,35,1178,598,0,0,0,0
547,18.218,11,8,boat,0.003299,4,airplane,0.000436,2,car,0.000311,0.000311,0.000009,0.000026,0.000049,0.003299,1065,565,113,31,1178,596,0,0,0,0
547,18.218,12,4,airplane,0.002777,37,surfboard,0.000848,8,boat,0.000835,0.000016,0.000041,0.000021,0.000034,0.000835,1179,386,100,26,1279,412,1,0,0,0
